,9861,10021,12876,14380,15496,15697
1,8,2,4,1,2,3
2,4,1,3,5,5,3
3,5,3,2,3,3,6
4,2,3,1,3,4,2
5,4,2,2,2,2,3
6,15,8,4,16,14,19
7,8,10,5,9,7,11
8,17,8,12,17,15,14
9,3,1,1,4,1,4
10,2,8,2,6,9,9
11,6,6,4,9,5,8
12,5,7,5,13,16,13
13,5,6,10,8,7,5
14,13,7,10,14,9,10
15,3,2,3,3,4,2
16,4,7,2,4,5,1
17,7,2,1,5,5,1
18,0,0,1,4,7,2
19,3,4,2,3,1,4
20,2,2,1,4,1,1
21,9,5,12,11,7,10
22,5,6,3,8,6,8
23,14,10,10,10,7,7
24,1,4,14,7,7,7
25,2,5,2,2,3,2
26,6,10,5,7,10,8
27,15,16,11,12,20,18
28,6,9,11,12,12,11
29,20,6,7,14,10,18
30,5,4,5,7,7,4
31,0,4,0,0,0,0
32,2,0,1,4,0,6
33,2,4,3,2,2,3
34,5,3,4,2,5,6
35,28,29,17,31,21,20
36,7,4,8,10,7,11
37,17,9,15,13,13,10
38,6,2,5,18,14,11
39,1,4,6,4,2,8
40,38,26,23,24,17,18
41,6,1,2,3,7,13
42,9,5,3,1,0,1
43,6,3,3,5,5,3
44,7,9,2,3,3,5
45,5,3,1,3,4,3
46,7,4,2,3,2,4
47,35,19,3,16,16,20
48,13,17,5,10,7,13
49,38,24,11,17,12,15
50,7,3,2,3,1,4
51,6,13,2,5,10,8
52,14,11,4,9,6,9
53,10,11,5,14,14,11
54,13,20,11,10,10,6
55,32,16,11,15,11,11
56,6,6,4,5,4,3
57,12,11,2,6,5,1
58,8,5,0,4,3,1
59,3,2,1,4,6,1
60,8,8,4,4,2,4
61,1,4,1,4,2,1
62,24,18,12,10,8,10
63,10,13,2,8,6,8
64,29,16,9,10,7,7
65,5,10,14,7,8,7
66,4,5,1,0,0,1
67,23,22,4,7,9,9
68,27,24,11,10,19,18
69,8,15,11,13,11,11
70,34,13,7,15,10,19
71,12,8,7,6,9,4
72,0,4,0,0,0,0
73,2,0,1,2,0,3
74,2,4,3,1,2,3
75,15,9,4,2,7,6
76,60,62,18,33,18,20
77,14,13,9,12,6,12
78,30,20,12,13,13,8
79,12,6,4,15,12,10
80,2,5,5,2,4,8
81,73,64,20,25,20,19
82,6,6,5,3,6,11
83,220,245,46,142,149,3
