id,label,hemisphere,structure
1,G_and_S_frontomargin,L,cortex
2,G_and_S_occipital_inf,L,cortex
3,G_and_S_paracentral,L,cortex
4,G_and_S_subcentral,L,cortex
5,G_and_S_transv_frontopol,L,cortex
6,G_and_S_cingul-Ant,L,cortex
7,G_and_S_cingul-Mid-Ant,L,cortex
8,G_and_S_cingul-Mid-Post,L,cortex
9,G_cingul-Post-dorsal,L,cortex
10,G_cingul-Post-ventral,L,cortex
11,G_cuneus,L,cortex
12,G_front_inf-Opercular,L,cortex
13,G_front_inf-Orbital,L,cortex
14,G_front_inf-Triangul,L,cortex
15,G_front_middle,L,cortex
16,G_front_sup,L,cortex
17,G_Ins_lg_and_S_cent_ins,L,cortex
18,G_insular_short,L,cortex
19,G_occipital_middle,L,cortex
20,G_occipital_sup,L,cortex
21,G_oc-temp_lat-fusifor,L,cortex
22,G_oc-temp_med-Lingual,L,cortex
23,G_oc-temp_med-Parahip,L,cortex
24,G_orbital,L,cortex
25,G_pariet_inf-Angular,L,cortex
26,G_pariet_inf-Supramar,L,cortex
27,G_parietal_sup,L,cortex
28,G_postcentral,L,cortex
29,G_precentral,L,cortex
30,G_precuneus,L,cortex
31,G_rectus,L,cortex
32,G_subcallosal,L,cortex
33,G_temp_sup-G_T_transv,L,cortex
34,G_temp_sup-Lateral,L,cortex
35,G_temp_sup-Plan_polar,L,cortex
36,G_temp_sup-Plan_tempo,L,cortex
37,G_temporal_inf,L,cortex
38,G_temporal_middle,L,cortex
39,Lat_Fis-ant-Horizont,L,cortex
40,Lat_Fis-ant-Vertical,L,cortex
41,Lat_Fis-post,L,cortex
43,Pole_occipital,L,cortex
44,Pole_temporal,L,cortex
45,S_calcarine,L,cortex
46,S_central,L,cortex
47,S_cingul-Marginalis,L,cortex
48,S_circular_insula_ant,L,cortex
49,S_circular_insula_inf,L,cortex
50,S_circular_insula_sup,L,cortex
51,S_collat_transv_ant,L,cortex
52,S_collat_transv_post,L,cortex
53,S_front_inf,L,cortex
54,S_front_middle,L,cortex
55,S_front_sup,L,cortex
56,S_interm_prim-Jensen,L,cortex
57,S_intrapariet_and_P_trans,L,cortex
58,S_oc_middle_and_Lunatus,L,cortex
59,S_oc_sup_and_transversal,L,cortex
60,S_occipital_ant,L,cortex
61,S_oc-temp_lat,L,cortex
62,S_oc-temp_med_and_Lingual,L,cortex
63,S_orbital_lateral,L,cortex
64,S_orbital_med-olfact,L,cortex
65,S_orbital-H_Shaped,L,cortex
66,S_parieto_occipital,L,cortex
67,S_pericallosal,L,cortex
68,S_postcentral,L,cortex
69,S_precentral-inf-part,L,cortex
70,S_precentral-sup-part,L,cortex
71,S_suborbital,L,cortex
72,S_subparietal,L,cortex
73,S_temporal_inf,L,cortex
74,S_temporal_sup,L,cortex
75,S_temporal_transverse,L,cortex
76,G_and_S_frontomargin,R,cortex
77,G_and_S_occipital_inf,R,cortex
78,G_and_S_paracentral,R,cortex
