id,label,hemisphere,structure
1,R_V1_ROI,R,cortex
2,R_MST_ROI,R,cortex
3,R_V6_ROI,R,cortex
4,R_V2_ROI,R,cortex
5,R_V3_ROI,R,cortex
6,R_V4_ROI,R,cortex
7,R_V8_ROI,R,cortex
8,R_4_ROI,R,cortex
9,R_3b_ROI,R,cortex
10,R_FEF_ROI,R,cortex
11,R_PEF_ROI,R,cortex
12,R_55b_ROI,R,cortex
13,R_V3A_ROI,R,cortex
14,R_RSC_ROI,R,cortex
15,R_POS2_ROI,R,cortex
16,R_V7_ROI,R,cortex
17,R_IPS1_ROI,R,cortex
18,R_FFC_ROI,R,cortex
19,R_V3B_ROI,R,cortex
20,R_LO1_ROI,R,cortex
21,R_LO2_ROI,R,cortex
22,R_PIT_ROI,R,cortex
23,R_MT_ROI,R,cortex
24,R_A1_ROI,R,cortex
25,R_PSL_ROI,R,cortex
26,R_SFL_ROI,R,cortex
27,R_PCV_ROI,R,cortex
28,R_STV_ROI,R,cortex
29,R_7Pm_ROI,R,cortex
30,R_7m_ROI,R,cortex
31,R_POS1_ROI,R,cortex
32,R_23d_ROI,R,cortex
33,R_v23ab_ROI,R,cortex
34,R_d23ab_ROI,R,cortex
35,R_31pv_ROI,R,cortex
36,R_5m_ROI,R,cortex
37,R_5mv_ROI,R,cortex
38,R_23c_ROI,R,cortex
39,R_5L_ROI,R,cortex
40,R_24dd_ROI,R,cortex
41,R_24dv_ROI,R,cortex
42,R_7AL_ROI,R,cortex
43,R_SCEF_ROI,R,cortex
44,R_6ma_ROI,R,cortex
45,R_7Am_ROI,R,cortex
46,R_7PL_ROI,R,cortex
47,R_7PC_ROI,R,cortex
48,R_LIPv_ROI,R,cortex
49,R_VIP_ROI,R,cortex
50,R_MIP_ROI,R,cortex
51,R_1_ROI,R,cortex
52,R_2_ROI,R,cortex
53,R_3a_ROI,R,cortex
54,R_6d_ROI,R,cortex
55,R_6mp_ROI,R,cortex
56,R_6v_ROI,R,cortex
57,R_p24pr_ROI,R,cortex
58,R_33pr_ROI,R,cortex
59,R_a24pr_ROI,R,cortex
60,R_p32pr_ROI,R,cortex
61,R_a24_ROI,R,cortex
62,R_d32_ROI,R,cortex
63,R_8BM_ROI,R,cortex
64,R_p32_ROI,R,cortex
65,R_10r_ROI,R,cortex
66,R_47m_ROI,R,cortex
67,R_8Av_ROI,R,cortex
68,R_8Ad_ROI,R,cortex
69,R_9m_ROI,R,cortex
70,R_8BL_ROI,R,cortex
71,R_9p_ROI,R,cortex
72,R_10d_ROI,R,cortex
73,R_8C_ROI,R,cortex
74,R_44_ROI,R,cortex
75,R_45_ROI,R,cortex
76,R_47l_ROI,R,cortex
77,R_a47r_ROI,R,cortex
78,R_6r_ROI,R,cortex
79,R_IFJa_ROI,R,cortex
80,R_IFJp_ROI,R,cortex
81,R_IFSp_ROI,R,cortex
82,R_IFSa_ROI,R,cortex
83,R_p9-46v_ROI,R,cortex
84,R_46_ROI,R,cortex
85,R_a9-46v_ROI,R,cortex
86,R_9-46d_ROI,R,cortex
87,R_9a_ROI,R,cortex
88,R_10v_ROI,R,cortex
89,R_a10p_ROI,R,cortex
90,R_10pp_ROI,R,cortex
91,R_11l_ROI,R,cortex
92,R_13l_ROI,R,cortex
93,R_OFC_ROI,R,cortex
94,R_47s_ROI,R,cortex
95,R_LIPd_ROI,R,cortex
96,R_6a_ROI,R,cortex
97,R_i6-8_ROI,R,cortex
98,R_s6-8_ROI,R,cortex
99,R_43_ROI,R,cortex
100,R_OP4_ROI,R,cortex
101,R_OP1_ROI,R,cortex
102,R_OP2-3_ROI,R,cortex
103,R_52_ROI,R,cortex
104,R_RI_ROI,R,cortex
105,R_PFcm_ROI,R,cortex
106,R_PoI2_ROI,R,cortex
107,R_TA2_ROI,R,cortex
108,R_FOP4_ROI,R,cortex
109,R_MI_ROI,R,cortex
110,R_Pir_ROI,R,cortex
111,R_AVI_ROI,R,cortex
112,R_AAIC_ROI,R,cortex
113,R_FOP1_ROI,R,cortex
114,R_FOP3_ROI,R,cortex
115,R_FOP2_ROI,R,cortex
116,R_PFt_ROI,R,cortex
117,R_AIP_ROI,R,cortex
118,R_EC_ROI,R,cortex
119,R_PreS_ROI,R,cortex
120,R_H_ROI,R,cortex
121,R_ProS_ROI,R,cortex
122,R_PeEc_ROI,R,cortex
123,R_STGa_ROI,R,cortex
124,R_PBelt_ROI,R,cortex
125,R_A5_ROI,R,cortex
126,R_PHA1_ROI,R,cortex
127,R_PHA3_ROI,R,cortex
128,R_STSda_ROI,R,cortex
129,R_STSdp_ROI,R,cortex
130,R_STSvp_ROI,R,cortex
131,R_TGd_ROI,R,cortex
132,R_TE1a_ROI,R,cortex
133,R_TE1p_ROI,R,cortex
134,R_TE2a_ROI,R,cortex
135,R_TF_ROI,R,cortex
136,R_TE2p_ROI,R,cortex
137,R_PHT_ROI,R,cortex
138,R_PH_ROI,R,cortex
139,R_TPOJ1_ROI,R,cortex
140,R_TPOJ2_ROI,R,cortex
141,R_TPOJ3_ROI,R,cortex
142,R_DVT_ROI,R,cortex
143,R_PGp_ROI,R,cortex
144,R_IP2_ROI,R,cortex
145,R_IP1_ROI,R,cortex
146,R_IP0_ROI,R,cortex
147,R_PFop_ROI,R,cortex
148,R_PF_ROI,R,cortex
149,R_PFm_ROI,R,cortex
150,R_PGi_ROI,R,cortex
151,R_PGs_ROI,R,cortex
152,R_V6A_ROI,R,cortex
153,R_VMV1_ROI,R,cortex
154,R_VMV3_ROI,R,cortex
155,R_PHA2_ROI,R,cortex
156,R_V4t_ROI,R,cortex
157,R_FST_ROI,R,cortex
158,R_V3CD_ROI,R,cortex
159,R_LO3_ROI,R,cortex
160,R_VMV2_ROI,R,cortex
161,R_31pd_ROI,R,cortex
162,R_31a_ROI,R,cortex
163,R_VVC_ROI,R,cortex
164,R_25_ROI,R,cortex
165,R_s32_ROI,R,cortex
166,R_pOFC_ROI,R,cortex
167,R_PoI1_ROI,R,cortex
168,R_Ig_ROI,R,cortex
169,R_FOP5_ROI,R,cortex
170,R_p10p_ROI,R,cortex
171,R_p47r_ROI,R,cortex
172,R_TGv_ROI,R,cortex
173,R_MBelt_ROI,R,cortex
174,R_LBelt_ROI,R,cortex
175,R_A4_ROI,R,cortex
176,R_STSva_ROI,R,cortex
177,R_TE1m_ROI,R,cortex
178,R_PI_ROI,R,cortex
179,R_a32pr_ROI,R,cortex
180,R_p24_ROI,R,cortex
181,L_V1_ROI,L,cortex
182,L_MST_ROI,L,cortex
183,L_V6_ROI,L,cortex
184,L_V2_ROI,L,cortex
185,L_V3_ROI,L,cortex
186,L_V4_ROI,L,cortex
187,L_V8_ROI,L,cortex
188,L_4_ROI,L,cortex
189,L_3b_ROI,L,cortex
190,L_FEF_ROI,L,cortex
191,L_PEF_ROI,L,cortex
192,L_55b_ROI,L,cortex
193,L_V3A_ROI,L,cortex
194,L_RSC_ROI,L,cortex
195,L_POS2_ROI,L,cortex
196,L_V7_ROI,L,cortex
197,L_IPS1_ROI,L,cortex
198,L_FFC_ROI,L,cortex
199,L_V3B_ROI,L,cortex
200,L_LO1_ROI,L,cortex
201,L_LO2_ROI,L,cortex
202,L_PIT_ROI,L,cortex
203,L_MT_ROI,L,cortex
204,L_A1_ROI,L,cortex
205,L_PSL_ROI,L,cortex
206,L_SFL_ROI,L,cortex
207,L_PCV_ROI,L,cortex
208,L_STV_ROI,L,cortex
209,L_7Pm_ROI,L,cortex
210,L_7m_ROI,L,cortex
211,L_POS1_ROI,L,cortex
212,L_23d_ROI,L,cortex
213,L_v23ab_ROI,L,cortex
214,L_d23ab_ROI,L,cortex
215,L_31pv_ROI,L,cortex
216,L_5m_ROI,L,cortex
217,L_5mv_ROI,L,cortex
218,L_23c_ROI,L,cortex
219,L_5L_ROI,L,cortex
220,L_24dd_ROI,L,cortex
221,L_24dv_ROI,L,cortex
222,L_7AL_ROI,L,cortex
223,L_SCEF_ROI,L,cortex
224,L_6ma_ROI,L,cortex
225,L_7Am_ROI,L,cortex
226,L_7PL_ROI,L,cortex
227,L_7PC_ROI,L,cortex
228,L_LIPv_ROI,L,cortex
229,L_VIP_ROI,L,cortex
230,L_MIP_ROI,L,cortex
231,L_1_ROI,L,cortex
232,L_2_ROI,L,cortex
233,L_3a_ROI,L,cortex
234,L_6d_ROI,L,cortex
235,L_6mp_ROI,L,cortex
236,L_6v_ROI,L,cortex
237,L_p24pr_ROI,L,cortex
238,L_33pr_ROI,L,cortex
239,L_a24pr_ROI,L,cortex
240,L_p32pr_ROI,L,cortex
241,L_a24_ROI,L,cortex
242,L_d32_ROI,L,cortex
243,L_8BM_ROI,L,cortex
244,L_p32_ROI,L,cortex
245,L_10r_ROI,L,cortex
246,L_47m_ROI,L,cortex
247,L_8Av_ROI,L,cortex
248,L_8Ad_ROI,L,cortex
249,L_9m_ROI,L,cortex
250,L_8BL_ROI,L,cortex
251,L_9p_ROI,L,cortex
252,L_10d_ROI,L,cortex
253,L_8C_ROI,L,cortex
254,L_44_ROI,L,cortex
255,L_45_ROI,L,cortex
256,L_47l_ROI,L,cortex
257,L_a47r_ROI,L,cortex
258,L_6r_ROI,L,cortex
259,L_IFJa_ROI,L,cortex
260,L_IFJp_ROI,L,cortex
261,L_IFSp_ROI,L,cortex
262,L_IFSa_ROI,L,cortex
263,L_p9-46v_ROI,L,cortex
264,L_46_ROI,L,cortex
265,L_a9-46v_ROI,L,cortex
266,L_9-46d_ROI,L,cortex
267,L_9a_ROI,L,cortex
268,L_10v_ROI,L,cortex
269,L_a10p_ROI,L,cortex
270,L_10pp_ROI,L,cortex
271,L_11l_ROI,L,cortex
272,L_13l_ROI,L,cortex
273,L_OFC_ROI,L,cortex
274,L_47s_ROI,L,cortex
275,L_LIPd_ROI,L,cortex
276,L_6a_ROI,L,cortex
277,L_i6-8_ROI,L,cortex
278,L_s6-8_ROI,L,cortex
279,L_43_ROI,L,cortex
280,L_OP4_ROI,L,cortex
281,L_OP1_ROI,L,cortex
282,L_OP2-3_ROI,L,cortex
283,L_52_ROI,L,cortex
284,L_RI_ROI,L,cortex
285,L_PFcm_ROI,L,cortex
286,L_PoI2_ROI,L,cortex
287,L_TA2_ROI,L,cortex
288,L_FOP4_ROI,L,cortex
289,L_MI_ROI,L,cortex
290,L_Pir_ROI,L,cortex
291,L_AVI_ROI,L,cortex
292,L_AAIC_ROI,L,cortex
293,L_FOP1_ROI,L,cortex
294,L_FOP3_ROI,L,cortex
