id,label,hemisphere,structure
1,7Networks_LH_Vis_1,L,cortex
2,7Networks_LH_Vis_2,L,cortex
3,7Networks_LH_Vis_3,L,cortex
4,7Networks_LH_Vis_4,L,cortex
5,7Networks_LH_Vis_5,L,cortex
6,7Networks_LH_Vis_6,L,cortex
7,7Networks_LH_Vis_7,L,cortex
8,7Networks_LH_Vis_8,L,cortex
9,7Networks_LH_Vis_9,L,cortex
10,7Networks_LH_Vis_10,L,cortex
11,7Networks_LH_Vis_11,L,cortex
12,7Networks_LH_Vis_12,L,cortex
13,7Networks_LH_Vis_13,L,cortex
14,7Networks_LH_Vis_14,L,cortex
15,7Networks_LH_SomMot_1,L,cortex
16,7Networks_LH_SomMot_2,L,cortex
17,7Networks_LH_SomMot_3,L,cortex
18,7Networks_LH_SomMot_4,L,cortex
19,7Networks_LH_SomMot_5,L,cortex
20,7Networks_LH_SomMot_6,L,cortex
21,7Networks_LH_SomMot_7,L,cortex
22,7Networks_LH_SomMot_8,L,cortex
23,7Networks_LH_SomMot_9,L,cortex
24,7Networks_LH_SomMot_10,L,cortex
25,7Networks_LH_SomMot_11,L,cortex
26,7Networks_LH_SomMot_12,L,cortex
27,7Networks_LH_SomMot_13,L,cortex
28,7Networks_LH_SomMot_14,L,cortex
29,7Networks_LH_SomMot_15,L,cortex
30,7Networks_LH_SomMot_16,L,cortex
31,7Networks_LH_DorsAttn_Post_1,L,cortex
32,7Networks_LH_DorsAttn_Post_2,L,cortex
33,7Networks_LH_DorsAttn_Post_3,L,cortex
34,7Networks_LH_DorsAttn_Post_4,L,cortex
35,7Networks_LH_DorsAttn_Post_5,L,cortex
36,7Networks_LH_DorsAttn_Post_6,L,cortex
37,7Networks_LH_DorsAttn_Post_7,L,cortex
38,7Networks_LH_DorsAttn_Post_8,L,cortex
39,7Networks_LH_DorsAttn_Post_9,L,cortex
40,7Networks_LH_DorsAttn_Post_10,L,cortex
41,7Networks_LH_DorsAttn_FEF_1,L,cortex
42,7Networks_LH_DorsAttn_FEF_2,L,cortex
43,7Networks_LH_DorsAttn_PrCv_1,L,cortex
44,7Networks_LH_SalVentAttn_ParOper_1,L,cortex
45,7Networks_LH_SalVentAttn_ParOper_2,L,cortex
46,7Networks_LH_SalVentAttn_ParOper_3,L,cortex
47,7Networks_LH_SalVentAttn_FrOperIns_1,L,cortex
48,7Networks_LH_SalVentAttn_FrOperIns_2,L,cortex
49,7Networks_LH_SalVentAttn_FrOperIns_3,L,cortex
50,7Networks_LH_SalVentAttn_FrOperIns_4,L,cortex
51,7Networks_LH_SalVentAttn_PFCl_1,L,cortex
52,7Networks_LH_SalVentAttn_Med_1,L,cortex
53,7Networks_LH_SalVentAttn_Med_2,L,cortex
54,7Networks_LH_SalVentAttn_Med_3,L,cortex
55,7Networks_LH_Limbic_OFC_1,L,cortex
56,7Networks_LH_Limbic_OFC_2,L,cortex
57,7Networks_LH_Limbic_TempPole_1,L,cortex
58,7Networks_LH_Limbic_TempPole_2,L,cortex
