,9861,10021,12876,14380,15496,15697
1,1,1,4,2,2,6
2,3,3,0,5,7,9
3,3,2,3,0,3,1
4,2,3,1,4,5,0
5,1,2,0,1,3,1
6,0,1,2,2,1,0
7,2,2,0,4,2,1
8,0,1,3,2,2,4
9,0,1,0,7,0,3
10,5,2,4,4,8,6
11,4,2,0,2,3,6
12,0,1,3,0,0,2
13,0,2,0,3,3,2
14,0,1,0,1,2,3
15,4,3,2,6,3,7
16,3,2,3,2,3,2
17,1,3,2,1,0,1
18,1,1,2,4,4,1
19,0,0,1,1,1,0
20,3,1,4,5,1,3
21,3,0,1,0,1,2
22,2,5,1,3,2,2
23,2,0,2,2,0,1
24,5,4,3,3,3,5
25,0,1,0,0,1,1
26,6,2,3,3,0,3
27,0,0,1,1,0,0
28,1,2,1,0,1,1
29,2,7,3,4,4,6
30,0,1,0,1,0,0
31,5,4,4,3,9,6
32,4,2,2,2,0,3
33,0,2,0,1,2,3
34,4,0,0,0,2,1
35,1,1,1,0,1,1
36,0,0,3,4,0,0
37,3,1,1,3,2,1
38,0,1,1,0,2,2
39,1,0,2,1,2,0
40,1,2,2,2,0,3
41,4,3,1,2,3,3
42,3,1,1,2,1,1
43,1,2,1,0,0,1
44,7,1,4,2,1,2
45,0,0,0,4,1,2
46,0,2,2,1,3,0
47,2,0,1,1,4,4
48,3,1,0,0,2,1
49,2,1,2,0,0,0
50,0,1,0,1,3,1
51,5,2,2,5,4,4
52,4,2,3,3,2,2
53,1,3,3,2,3,2
54,2,0,1,1,2,1
55,2,1,1,2,2,1
56,5,12,9,10,6,6
57,6,3,3,10,5,9
58,6,7,6,10,7,8
59,4,1,1,4,1,7
60,1,1,3,2,1,1
61,1,0,0,1,0,1
62,3,1,4,2,1,1
63,1,1,1,1,0,1
64,8,2,4,6,5,5
65,2,0,1,3,7,4
66,0,0,3,5,3,2
67,0,1,0,1,2,0
68,2,4,1,1,1,2
69,4,3,1,0,1,3
70,0,0,1,3,1,1
71,0,0,1,2,2,1
72,1,2,0,3,2,2
73,2,0,2,2,4,2
74,5,0,4,4,5,6
75,8,3,2,5,1,3
76,6,1,2,3,5,5
77,2,4,2,5,1,3
78,7,3,3,1,2,4
79,0,1,1,1,2,0
80,0,5,1,1,3,0
81,1,0,0,3,1,0
82,2,2,1,1,1,1
83,0,0,0,1,0,2
84,1,2,4,3,3,3
85,3,3,1,5,1,2
86,3,8,0,0,3,0
87,4,0,1,2,2,1
88,0,2,1,1,0,2
89,1,5,0,0,2,1
90,3,2,3,3,2,2
91,0,1,1,2,1,3
92,3,0,2,2,4,3
93,0,2,1,0,0,2
94,3,0,4,2,4,4
95,0,0,1,2,4,1
96,1,0,4,2,1,2
97,2,1,1,1,1,4
98,2,1,2,3,1,1
99,0,1,3,3,2,0
100,5,2,1,5,6,2
101,11,7,2,2,6,6
102,6,4,4,7,3,2
103,10,10,3,5,5,9
104,4,5,1,6,8,3
105,3,4,5,0,3,1
106,4,5,0,9,3,2
107,0,3,3,2,2,3
108,1,6,0,4,4,4
109,6,3,3,4,5,2
110,0,2,2,0,2,3
111,5,1,0,3,1,5
112,0,5,0,4,3,6
113,2,2,3,1,0,2
114,0,0,0,0,2,1
115,2,7,1,1,3,1
116,6,4,4,2,2,6
117,3,1,1,4,1,2
118,1,1,4,1,0,0
119,0,2,0,1,0,0
120,4,1,1,1,2,1
121,0,0,1,1,0,1
122,9,2,1,6,1,2
123,3,5,2,0,1,2
124,4,1,2,1,2,1
125,2,3,0,0,1,1
126,3,3,0,4,1,1
127,10,6,3,2,2,2
128,0,0,1,1,1,0
129,7,2,3,4,1,3
130,1,2,0,0,0,0
131,4,4,1,2,1,1
132,1,1,1,0,1,0
