Gene	Gene description	Evidence
A4GALT	"Alpha 1,4-galactosyltransferase (P blood group)"	Evidence at protein level
AADAT	Aminoadipate aminotransferase	Evidence at protein level
AARD	Alanine and arginine rich domain containing protein	Evidence at protein level
AASS	Aminoadipate-semialdehyde synthase	Evidence at protein level
AATK	Apoptosis associated tyrosine kinase	Evidence at protein level
ABCA10	ATP binding cassette subfamily A member 10	Evidence at protein level
ABCA3	ATP binding cassette subfamily A member 3	Evidence at protein level
ABCA6	ATP binding cassette subfamily A member 6	Evidence at protein level
ABCA7	ATP binding cassette subfamily A member 7	Evidence at protein level
ABCA8	ATP binding cassette subfamily A member 8	Evidence at protein level
ABCA9	ATP binding cassette subfamily A member 9	Evidence at protein level
ABCB1	ATP binding cassette subfamily B member 1	Evidence at protein level
ABCC1	ATP binding cassette subfamily C member 1	Evidence at protein level
ABCC4	ATP binding cassette subfamily C member 4	Evidence at protein level
ABCC6	ATP binding cassette subfamily C member 6	Evidence at protein level
ABCC8	ATP binding cassette subfamily C member 8	Evidence at protein level
ABCC9	ATP binding cassette subfamily C member 9	Evidence at protein level
ABCD1	ATP binding cassette subfamily D member 1	Evidence at protein level
ABCD2	ATP binding cassette subfamily D member 2	Evidence at protein level
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Evidence at protein level
ABHD16A	"Abhydrolase domain containing 16A, phospholipase"	Evidence at protein level
ABHD16B	Abhydrolase domain containing 16B	Evidence at protein level
ABHD6	"Abhydrolase domain containing 6, acylglycerol lipase"	Evidence at protein level
ABI3	ABI family member 3	Evidence at protein level
ABI3BP	ABI family member 3 binding protein	Evidence at protein level
ABLIM2	Actin binding LIM protein family member 2	Evidence at protein level
ABLIM3	Actin binding LIM protein family member 3	Evidence at protein level
ABR	ABR activator of RhoGEF and GTPase	Evidence at protein level
ABTB2	Ankyrin repeat and BTB domain containing 2	Evidence at protein level
ABTB3	Ankyrin repeat and BTB domain containing 3	Evidence at protein level
ACADL	Acyl-CoA dehydrogenase long chain	Evidence at protein level
ACADS	Acyl-CoA dehydrogenase short chain	Evidence at protein level
ACAP1	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1"	Evidence at protein level
ACE	Angiotensin I converting enzyme	Evidence at protein level
ACER2	Alkaline ceramidase 2	Evidence at protein level
ACHE	Acetylcholinesterase (Cartwright blood group)	Evidence at protein level
ACOT11	Acyl-CoA thioesterase 11	Evidence at protein level
ACOT4	Acyl-CoA thioesterase 4	Evidence at protein level
ACOX2	Acyl-CoA oxidase 2	Evidence at protein level
ACRBP	Acrosin binding protein	Evidence at protein level
ACSL6	Acyl-CoA synthetase long chain family member 6	Evidence at protein level
ACSM5	Acyl-CoA synthetase medium chain family member 5	Evidence at protein level
ACSS3	Acyl-CoA synthetase short chain family member 3	Evidence at protein level
ACTA1	"Actin alpha 1, skeletal muscle"	Evidence at protein level
ACTC1	Actin alpha cardiac muscle 1	Evidence at protein level
ACTG2	"Actin gamma 2, smooth muscle"	Evidence at protein level
ACTN2	Actinin alpha 2	Evidence at protein level
ACTRT3	Actin related protein T3	Evidence at protein level
ACVR2B	Activin A receptor type 2B	Evidence at protein level
ACVRL1	Activin A receptor like type 1	Evidence at protein level
ACY3	Aminoacylase 3	Evidence at protein level
ADA	Adenosine deaminase	Evidence at protein level
ADAM11	ADAM metallopeptidase domain 11	Evidence at protein level
ADAM12	ADAM metallopeptidase domain 12	Evidence at protein level
ADAM19	ADAM metallopeptidase domain 19	Evidence at protein level
ADAM22	ADAM metallopeptidase domain 22	Evidence at protein level
ADAM23	ADAM metallopeptidase domain 23	Evidence at protein level
ADAM28	ADAM metallopeptidase domain 28	Evidence at protein level
ADAM33	ADAM metallopeptidase domain 33	Evidence at protein level
ADAM8	ADAM metallopeptidase domain 8	Evidence at protein level
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	Evidence at protein level
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	Evidence at protein level
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	Evidence at protein level
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	Evidence at protein level
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	Evidence at protein level
